IREF_DC,PSRR(Mag),MP,Ganancia(Mag),FGU,DR,CMRR(Mag),SR
1e-05,27637.57919,73.78,36266.02862,3222000,1.417,260015.9563,1.754
5e-05,30619.63434,68.4,29275.20871,6929000,1.293,402717.0343,1.427
1e-05,46881.33821,69.86,28510.18268,2992000,1.498,495450.1908,1.961
1e-05,890.225438,85.73,921.5098887,1335000,1.05,60325.37079,1.782
5e-05,11776.05974,62.3,44360.86439,7851000,1.32,229086.7653,1.088
2.2e-05,7079.457844,67.85,16218.10097,5645000,1.383,841395.1416,3.727
2.2e-05,2089.296131,66.48,7379.042301,5642000,1.398,1972422.736,4.031
1e-05,81846.47881,75.3,19431.21692,3390000,1.375,2113489.04,1.701
1e-05,1064.143018,74.58,3338.105052,2523000,1.396,327340.6949,1.909
5e-05,15577.58035,56.72,48865.23593,8623000,1.262,484172.3676,1.139
5e-05,12502.5903,61.33,52844.52518,7809000,1.321,309029.5433,1.124
2.2e-05,63973.48355,64.69,46131.75746,4674000,1.454,512861.384,1.399
2.2e-05,251188.6432,66.42,39764.90965,3695000,1.425,426579.5188,1.523
1e-05,1885.818969,72.27,6201.546437,3359000,1.348,741310.2413,1.88
1e-05,8830.799004,66.69,38815.0366,2304000,1.4,301995.172,0.3758
1e-05,16884.95859,65.1,47315.1259,2210000,1.412,407380.2778,0.3616
1e-05,760.3262769,75.81,2325.412486,3461000,1.178,146217.7174,1.716
1e-05,79707.64906,79.47,13520.72563,2653000,1.331,12589254.12,1.797
1e-05,7585.77575,69.35,15776.1127,3093000,1.469,1258925.412,1.917
2.2e-05,4130.47502,73.0,3345.800179,4384000,1.283,901571.1376,3.825
1e-05,5254.120151,75.45,11601.12216,2573000,1.399,201836.6364,1.884
1e-05,668343.9176,66.85,40225.3656,2771000,1.526,602559.5861,1.754
1e-05,28444.61107,77.03,26091.55723,3317000,1.361,2398832.919,1.725
2.2e-05,295120.9227,63.94,47260.68369,4560000,1.462,645654.229,1.391
2.2e-05,10715.19305,73.25,8137.668608,4418000,1.283,194984.46,3.698
1e-05,13273.94458,78.83,6194.410751,2611000,1.263,2483133.105,1.724
1e-05,1075.2266,77.93,32621.20504,1286000,1.362,45237.64623,0.4609
1e-05,349.5425096,77.45,1260.375638,2632000,1.269,179887.0915,1.861
2.2e-05,22029.26463,66.81,25118.86432,5242000,1.44,1011579.454,4.079
2.2e-05,10690.54879,73.22,8156.427871,4422000,1.283,342767.7865,3.783
1e-05,49431.0687,71.89,28119.0083,3062000,1.454,1083926.914,1.79
1e-05,16962.89602,76.28,13614.44682,2590000,1.331,676082.9754,1.848
1e-05,6839.116473,55.28,50061.05525,2135000,1.206,309029.5433,0.1268
1e-05,2707.073204,62.63,55462.5713,2705000,1.44,254097.2706,0.3905
1e-05,4055.085354,77.25,2157.744409,3236000,1.2,86596.43234,1.713
2.2e-05,32583.6701,62.6,48696.75252,5716000,1.391,901571.1376,1.281
1e-05,29957.11592,83.78,22181.9642,1331000,1.318,668343.9176,1.885
1e-05,2223.309891,69.86,27227.01308,2183000,1.441,68391.16473,1.797
1e-05,22029.26463,69.88,27637.57919,2267000,1.459,616595.0019,1.913
1e-05,2488.857318,77.02,1914.255925,3291000,1.179,160324.5391,1.766
1e-05,7577.047329,69.33,15757.96023,3093000,1.469,1148153.621,1.867
1e-05,7762.471166,76.02,12676.51866,3300000,1.345,588843.6554,1.772
1e-05,20820.92405,79.51,14521.11618,1258000,1.327,384591.782,1.754
5e-05,4251.087068,66.38,33227.67852,5360000,1.242,43102.2558,1.531
2.2e-05,14256.07594,67.06,17119.85177,5235000,1.437,543250.3315,4.076
1e-05,20090.92813,76.33,13708.81766,2589000,1.331,602559.5861,1.813
1e-05,20206.91432,70.57,19453.60082,2989000,1.452,555904.2573,1.897
1e-05,11721.95366,82.67,8288.959163,1292000,1.253,1798870.915,1.796
1e-05,7128.530301,75.17,8433.347578,3454000,1.341,495450.1908,1.767
1e-05,13001.69578,73.22,29342.69504,3453000,1.449,9225714.272,1.87
5e-05,10543.86896,62.74,33612.4369,6826000,1.318,416869.3835,1.161
1e-05,31768.74071,75.33,29376.49652,3323000,1.433,380189.3963,1.948
1e-05,7103.9517,55.86,50003.4535,2174000,1.211,199526.2315,0.1579
1e-05,2920.78776,62.12,52239.6189,2642000,1.453,457088.1896,0.3184
1e-05,4154.320512,62.91,51999.59965,2427000,1.453,489778.8194,0.3626
2.2e-05,9806.183143,69.31,19588.44674,4101000,1.389,518800.0389,3.968
1e-05,12488.20445,76.25,4650.503762,3452000,1.379,358921.9346,1.799
2.2e-05,53579.66575,66.48,27829.15374,5845000,1.448,1318256.739,3.902
2.2e-05,2009.092813,65.67,7952.432655,5245000,1.425,1244514.612,4.104
1e-05,7490.313585,71.3,15031.41966,3290000,1.453,812830.5162,1.823
1e-05,9473.271845,80.21,3411.929116,2635000,1.317,16405897.73,1.849
1e-05,54013.21148,72.17,29275.20871,3121000,1.447,812830.5162,1.8
1e-05,218776.1624,68.29,39994.47498,3043000,1.516,683911.6473,1.805
1e-05,47918.14529,69.5,21062.01899,3044000,1.468,537031.7964,1.853
1e-05,80723.50302,62.39,49147.33802,1896000,1.226,562341.3252,0.142
1e-05,10327.61406,72.92,12545.84738,2399000,1.394,285101.8268,1.826
2.2e-05,99884.93699,66.32,39994.47498,3694000,1.422,518800.0389,1.538
1e-05,6839.116473,75.36,6706.562867,3443000,1.297,803526.1222,1.706
1e-05,223872.1139,69.2,34554.13296,2931000,1.482,301995.172,1.795
2.2e-05,44157.04474,70.72,31045.59588,4397000,1.344,660693.448,1.611
1e-05,2538.048986,81.75,6316.841793,1337000,1.322,165958.6907,1.969
1e-05,4441.196614,68.12,24717.24145,1116000,1.144,79341.42568,0.1664
1e-05,716.1434102,78.19,1725.837892,2590000,1.277,363078.0548,1.771
2.2e-05,59360.83482,65.85,35850.89483,5649000,1.383,881048.873,1.506
1e-05,59020.10802,78.61,5476.46101,3498000,1.18,2264644.308,1.684
5e-05,6309.573445,69.09,37282.06849,7024000,1.333,114815.3621,1.292
1e-05,47918.14529,72.54,39355.00755,3361000,1.45,1188502.227,1.801
5e-05,55207.74393,64.09,40878.97521,7359000,1.278,275422.8703,1.475
1e-05,380189.3963,68.32,35727.28382,3042000,1.489,506990.7083,1.802
2.2e-05,29107.17118,70.02,12147.8662,5755000,1.316,1148153.621,3.628
5e-05,1396368.361,68.87,28510.18268,7167000,1.283,181970.0859,1.556
5e-05,3447.466066,64.41,49147.33802,6937000,1.323,211348.904,1.111
2.2e-05,3243.396173,65.29,9026.097075,5863000,1.439,14962356.56,3.91
1e-05,24071.32519,81.62,15275.66058,1284000,1.326,683911.6473,1.796
1e-05,35075.1874,74.63,23713.73706,2501000,1.41,1396368.361,1.815
1e-05,6918.309709,73.02,7481.695005,3316000,1.329,3845917.82,1.775
2.2e-05,3411.929116,71.28,8679.605773,6141000,1.314,2786121.169,3.693
1e-05,6698.846094,78.98,8090.958992,2643000,1.253,197242.2736,1.729
2.2e-05,34514.37393,72.51,30164.76873,4570000,1.334,512861.384,1.68
2.2e-05,5116.818355,64.76,9109.614523,5404000,1.45,3349654.392,3.872
5e-05,10303.8612,53.95,53394.92736,8668000,1.238,334965.4392,1.057
1e-05,30443.8799,72.93,18685.29677,3264000,1.401,707945.7844,1.733
1e-05,5761.028186,77.11,5058.24662,3277000,1.21,512861.384,1.778
5e-05,26884.37843,65.73,43401.02636,7462000,1.311,402717.0343,1.251
1e-05,1122018.454,67.57,38815.0366,2672000,1.508,575439.9373,1.778
1e-05,22594.3577,76.72,3953.666201,3530000,1.375,2344228.815,1.869
2.2e-05,7269.423992,69.79,4880.901012,5711000,1.313,113501081.6,3.705
1e-05,2751.059605,73.31,10080.91609,3176000,1.369,831763.7711,1.797
1e-05,229086.7653,69.22,34554.13296,2930000,1.482,562341.3252,1.827
1e-05,11521.2606,74.42,27669.41645,3297000,1.43,33113112.15,1.821
1e-05,84918.0475,67.11,32322.13203,2865000,1.524,881048.873,1.923
1e-05,9099.132726,71.45,15757.96023,3293000,1.455,3388441.561,1.823
5e-05,4819.477976,63.28,42510.87068,7467000,1.336,173780.0829,1.154
1e-05,237137.3706,67.96,40878.97521,2985000,1.52,676082.9754,1.765
1e-05,1794.733627,67.74,29888.21647,2929000,1.51,988553.0947,1.832
5e-05,3026.913428,61.27,17238.52091,7735000,1.27,922571.4272,1.38
5e-05,26607.2506,62.65,14028.13705,10340000,1.397,1303166.778,7.256
1e-05,1157.444032,79.28,3953.666201,3527000,1.187,281838.2931,1.636
5e-05,13289.23557,54.86,44565.62484,9205000,1.257,446683.5922,1.004
2.2e-05,101157.9454,71.83,28641.7797,4556000,1.36,841395.1416,1.695
1e-05,26946.35332,73.76,16576.77337,3185000,1.373,785235.6346,1.765
2.2e-05,18513.98894,63.06,26332.97944,4733000,1.471,785235.6346,1.359
1e-05,542.0008904,81.69,1657.677337,1296000,1.287,26393.68322,1.871
1e-05,15685.55898,75.84,12735.03081,3251000,1.367,555904.2573,1.823
2.2e-05,11053.50469,69.65,12260.26903,4121000,1.369,1000000.0,3.9
1e-05,1636.816521,68.22,39355.00755,2773000,1.493,1083926.914,1.735
2.2e-05,4825.029801,64.5,46612.2428,4494000,1.456,402717.0343,1.356
1e-05,3634.963045,84.44,10889.30093,1362000,1.324,371535.2291,1.991
1e-05,12217.9966,74.4,24688.80105,3305000,1.414,1161448.614,1.826
1e-05,45289.75799,74.94,32621.20504,3321000,1.435,1584893.192,1.977
1e-05,4226.686143,62.91,45551.21862,2418000,1.444,484172.3676,0.3144
1e-05,3949.116993,62.19,55590.42573,2275000,1.44,616595.0019,0.3233
1e-05,6382.634862,75.57,12232.07119,2574000,1.395,245470.8916,1.885
1e-05,812.8305162,75.09,4120.975191,3291000,1.34,489778.8194,1.829
1e-05,61801.64001,73.54,38106.58234,3457000,1.444,1059253.725,1.868
5e-05,57016.42723,56.05,31260.79367,9391000,1.199,575439.9373,1.278
5e-05,1663.41265,65.74,10375.28416,5391000,1.224,19230.91729,1.602
1e-05,7071.312007,55.26,50061.05525,2130000,1.204,309029.5433,0.1212
1e-05,27797.13268,73.76,17680.72218,3119000,1.384,1202264.435,1.714
1e-05,28906.79882,69.27,27321.21444,3048000,1.468,562341.3252,1.79
1e-05,11259.00469,82.68,8590.135215,1290000,1.236,870963.59,1.747
1e-05,870.96359,79.78,4508.167045,3611000,1.214,457088.1896,1.74
