IREF_DC,Ganancia Magnitud,CMRR Magnitud,PSRR Magnitud,UGF,PM,Slew_Rate,DRout
2.50E-05,321.7362533,11926.14266,4482.2905,3083000,70.67,3.68,1.678
1.50E-05,16387.02061,151356.1248,45551.21862,2007000,69.93,2.54,1.628
1.00E-05,21978.59873,156675.107,16865.53025,2711000,69.02,1.85,1.521
1.00E-05,296.8246743,55.33501092,237.9578301,1604000,74.42,1.14,1.317
1.50E-05,312.2482406,13708.81766,728.6181745,2994000,70.74,2.52,1.698
1.00E-05,421.6965034,17599.48664,13061.70888,2246000,70.09,1.80,1.698
2.50E-05,19010.7828,683911.6473,16292.96033,4811000,70.18,4.01,1.559
2.50E-05,164.0589773,129.7179271,173.5801263,2068000,69.07,2.63,1.402
2.50E-05,10939.56366,301995.172,9300.365148,3009000,69.28,4.27,1.578
1.50E-05,10801.89621,11668.09617,18092.5591,1980000,69.66,2.13,1.583
2.50E-05,13661.55076,1023292.992,13001.69578,3234000,69.6,4.25,1.587
1.00E-05,263.9368322,7087.613065,3597.493352,1614000,69.84,1.75,1.68
1.50E-05,14945.14042,2624.218543,206.0629913,3554000,68.8,2.14,1.418
2.00E-05,21256.90345,1717908.387,21877.61624,3056000,69.59,3.43,1.607
2.00E-05,536.4138714,21404.24927,6950.243176,2697000,70.82,3.51,1.677
1.50E-05,18050.94737,105925.3725,36224.29984,2904000,72.38,2.49,1.578
2.00E-05,4135.233143,5754.399373,4650.503762,3658000,69.34,2.75,1.462
1.00E-05,3026.913428,564.9369748,3548.133892,1776000,70.16,0.86,1.54
1.00E-05,18050.94737,154881.6619,10851.7555,2316000,69.52,1.87,1.554
1.50E-05,11259.00469,8472.274141,14437.76604,2477000,70.3,1.95,1.562
1.00E-05,263.3297944,7087.613065,3576.844006,1621000,69.56,1.78,1.683
2.50E-05,1603.245391,1568.555898,1561.349038,4318000,69.74,3.18,1.404
2.50E-05,22724.79635,301995.172,11468.32521,4602000,73.96,3.79,1.593
2.50E-05,837.5292821,37583.74043,8472.274141,4318000,74.12,4.16,1.673
1.00E-05,3044.38799,748.1695005,3408.003248,1866000,69.57,0.83,1.525
1.00E-05,12897.33558,13677.28826,16481.62392,1878000,68.96,1.24,1.556
2.50E-05,2636.331386,1244.514612,2795.760728,4221000,71.69,3.09,1.455
2.00E-05,331.1311215,12574.76854,2549.764088,3720000,72.71,3.21,1.703
1.50E-05,19297.45336,239883.2919,14945.14042,2667000,70.22,2.64,1.607
1.00E-05,450.2979813,16923.88244,10507.51455,1690000,69.84,1.90,1.684
1.50E-05,489.7788194,21652.09879,3801.893963,2656000,70.39,2.73,1.688
2.00E-05,19656.21981,211348.904,14305.39981,3780000,72.85,3.27,1.578
2.50E-05,11654.67051,616595.0019,8780.110871,4791000,70.04,3.89,1.539
1.50E-05,20725.2606,45237.64623,5642.869413,3737000,68.04,2.48,1.48
1.00E-05,19769.6964,50292.12659,2398.832919,1981000,71.73,1.72,1.558
2.50E-05,15100.80154,367282.3005,13031.66778,4556000,70.82,4.17,1.539
2.50E-05,257.6321157,23.14728186,134.1219935,2938000,70.93,3.20,1.312
1.00E-05,288.4031503,8851.156098,19701.53207,2094000,71.46,1.65,1.721
1.50E-05,2317.39465,1671.090614,2815.140015,2026000,68.81,1.96,1.541
1.50E-05,312.2482406,10568.17509,13963.68361,2804000,72.56,2.51,1.712
1.50E-05,20230.19179,98969.18639,25971.67741,3065000,72.5,2.42,1.548
1.50E-05,25497.64088,213796.209,30938.55315,3054000,71.47,2.43,1.606
2.50E-05,3958.220648,11885.02227,16180.80038,2647000,69.42,3.39,1.549
2.50E-05,367.7053934,18155.15663,299.9162519,4714000,71.9,3.94,1.645
2.50E-05,18642.32178,254097.2706,17988.70915,4490000,73.42,4.03,1.568
1.00E-05,6854.882265,2415.460834,6074.352629,2577000,68.19,1.37,1.392
1.00E-05,8053.784412,7269.423992,3184.197522,2201000,69.66,1.53,1.462
2.00E-05,328.8516309,26091.55723,455.5121862,3721000,71.28,3.30,1.683
2.50E-05,2065.380156,1391.553795,2182.729912,2817000,70.36,2.91,1.56
2.00E-05,296.8246743,18967.05921,418.7935651,2701000,70.2,3.28,1.666
1.00E-05,6902.398038,2077.303726,7691.304403,2193000,69.19,1.18,1.451
2.00E-05,331.5125698,12618.27535,2529.297996,3724000,72.81,3.22,1.703
2.50E-05,17640.05764,575439.9373,16826.74061,4737000,71.21,4.10,1.538
1.50E-05,540.7543229,23878.11283,2968.246743,2210000,69.64,2.77,1.67
1.50E-05,25118.86432,179887.0915,32734.06949,3032000,72.15,2.40,1.602
2.00E-05,21577.44409,154881.6619,25703.95783,2827000,71.37,3.25,1.631
1.00E-05,5942.921586,18365.38343,2682.254608,2010000,69.23,1.58,1.496
1.50E-05,2579.288964,692.6279294,2951.209227,1878000,70.09,1.70,1.581
1.00E-05,2162.718524,360.578643,2591.194421,1608000,70.24,0.85,1.558
1.00E-05,284.77378,8709.6359,22284.35149,2030000,71.38,1.72,1.72
2.00E-05,19815.27026,118850.2227,23795.78301,3634000,73.38,3.14,1.582
1.00E-05,13212.95634,13567.5053,12647.36347,2277000,69.47,1.24,1.477
2.50E-05,78.79524315,50.35006088,84.62525688,1313000,70.72,2.38,1.375
2.50E-05,258.2260191,23.28091258,134.8962883,2937000,70.88,3.18,1.312
2.50E-05,618.0164001,31009.87389,3361.24369,3527000,71.01,4.06,1.672
2.50E-05,4295.364268,2360.478233,4375.221052,4253000,72.22,3.09,1.481
2.00E-05,21877.61624,2041737.945,22855.98803,3854000,70.16,3.39,1.588
2.50E-05,13412.19935,966050.879,12647.36347,3764000,70.15,4.23,1.573
1.50E-05,18365.38343,144543.9771,29614.19965,2526000,70.75,2.60,1.615
1.00E-05,4246.195639,973.8677853,1952.090734,2197000,69.46,1.24,1.41
1.00E-05,22105.48256,149623.5656,16904.40932,2771000,68.6,1.82,1.507
1.00E-05,6280.583588,12064.24088,2961.419965,2245000,68.32,1.51,1.474
2.00E-05,2930.893245,947.3271845,3439.537114,3578000,71.08,2.62,1.451
2.00E-05,315.137438,10256.51926,7211.074792,2746000,71.36,3.26,1.688
2.00E-05,8790.225168,9862.794856,13693.04388,3003000,70.42,2.77,1.551
1.50E-05,24518.84454,436515.8322,28411.88185,3247000,69.6,2.51,1.58
1.00E-05,12971.79271,7370.551753,9015.711376,2235000,70.31,1.46,1.462
1.00E-05,289.4009817,85.50667129,323.5936569,1396000,69.31,0.84,1.383
2.50E-05,22803.42072,683911.6473,18217.97073,4595000,72.8,3.85,1.594
1.00E-05,468.8133821,17926.68552,22698.64852,1761000,70.8,1.85,1.698
2.50E-05,246.8880105,1129.795915,243.2204009,2526000,68.61,2.91,1.423
1.50E-05,3487.385841,1383.566379,3890.45145,3021000,69.25,1.98,1.43
